Phase,Event,Points
FASE A GIRONI,VITTORIA,3
FASE A GIRONI,PAREGGIO,1
FASE A GIRONI,QUALIFICATA 1 POSTO,3
FASE A GIRONI,QUALIFICATA 2 POSTO,2
FASE A GIRONI,QUALIFICATA 3 POSTO,1
FASE AD ELIMINAZIONE,QUALIFICAZIONE VITTORIA PARTITA,5
FASE AD ELIMINAZIONE,QUALIFICAZIONE VITTORIA SUPPLEMENTARI,5
FASE AD ELIMINAZIONE,QUALIFICAZIONE VITTORIA RIGORI,4
FASE AD ELIMINAZIONE,ELIMINAZIONE SCONFITTA RIGORI,1
FASE AD ELIMINAZIONE,VINCENTE FINALE,5
FASE AD ELIMINAZIONE,PERDENTE FINALE,1
